thickness,energy_per_particle
7.000000000000001e-05,0.8557070106368561
0.00021,0.6525781181602847
0.00035000000000000005,0.5448566562652155
0.00049,0.46936270747754716
0.00063,0.4126060531536174
0.0007700000000000001,0.3671446585806889
0.00091,0.32969102276693324
0.0010500000000000002,0.29781618300034934
0.00119,0.27109780482248513
0.00133,0.24696840941882128
0.0014700000000000002,0.22513879669723896
0.00161,0.2073525072314428
0.00175,0.19087232393164594
0.0018900000000000002,0.17508913050455513
0.0020300000000000006,0.1626434635284291
0.0021700000000000005,0.15039267967430806
0.0023100000000000004,0.1396001147022591
0.0024500000000000004,0.12948153851791416
0.0025900000000000003,0.1205668034410276
0.0027300000000000007,0.1122606192752801
0.0028700000000000006,0.10440890241193433
0.0030100000000000005,0.09738908119698328
0.0031500000000000005,0.09126511030693284
0.0032900000000000004,0.08527241885031883
0.0034300000000000003,0.07921997829298931
0.0035700000000000007,0.07463426411395944
0.0037100000000000006,0.0698875324021699
0.0038500000000000006,0.0654088311315513
0.0039900000000000005,0.06069996762304399
0.00413,0.05775017161236259
0.00427,0.0537418966274274
0.00441,0.050853221548491694
0.00455,0.04781900199961384
0.004690000000000001,0.044563767335846
0.00483,0.042450044685523596
0.0049700000000000005,0.0392247726096514
0.00511,0.037212173143290846
0.00525,0.03563141997691313
0.005390000000000001,0.03299788587268175
0.00553,0.03125031709032875
0.0056700000000000006,0.029348265732687236
0.00581,0.027297557124132937
0.00595,0.026096336620759428
0.006090000000000001,0.024390004043880004
0.00623,0.023065344463335666
0.006370000000000001,0.021684278479465784
0.00651,0.02029393652307547
0.0066500000000000005,0.019044085320360914
0.00679,0.0181406575349848
0.00693,0.01711818253883699
0.007070000000000001,0.01615025862453638
0.00721,0.014974110890900871
0.007350000000000001,0.014338077348541927
0.00749,0.013456619096364744
0.0076300000000000005,0.012737660493239319
0.007770000000000001,0.01176863761512884
0.007910000000000002,0.010799280466397032
0.008050000000000002,0.010545716506874213
0.008190000000000001,0.009425413912968788
0.008330000000000002,0.009213494017044622
0.008470000000000002,0.008681190335400202
0.008610000000000001,0.008128799075024878
0.00875,0.007596536925815863
0.008890000000000002,0.007403810424777339
0.009030000000000002,0.006950882801210726
0.009170000000000001,0.006368092437265376
0.009310000000000002,0.0060244636425824585
0.009450000000000002,0.005521668110319814
0.009590000000000001,0.005221242283665851
0.00973,0.004921505184512482
0.009870000000000002,0.004651839747410841
0.010010000000000002,0.004194498245770832
0.010150000000000001,0.004108728740135371
0.010290000000000002,0.0038958059889521407
0.010430000000000002,0.003568788603301988
0.010570000000000001,0.003262997843884833
0.010710000000000003,0.0030490072339049556
0.010850000000000002,0.0028622280294718218
0.010990000000000002,0.0027308269744725695
0.011130000000000001,0.0026806204085096713
0.011270000000000002,0.0023189989041673426
0.011410000000000002,0.0021957274729774976
0.011550000000000001,0.0020453585748547672
0.011690000000000002,0.0020214135989101638
0.011830000000000002,0.0020491737050165816
0.011970000000000001,0.0015712854447151525
0.012110000000000003,0.001607628640716782
0.012250000000000002,0.001438150051647547
0.012390000000000002,0.0013103373378908704
0.012530000000000001,0.0013616764864372132
0.012670000000000002,0.0011826322414334903
0.012810000000000002,0.0009517008878511973
0.012950000000000001,0.000983263473443631
0.013090000000000003,0.0008419623608787163
0.013230000000000002,0.0007286242847927555
0.013370000000000002,0.0006515085254526811
0.013510000000000001,0.0005724526470334422
0.013650000000000002,0.0005098194527492026
0.013790000000000002,0.0004091027056984103
0.013930000000000001,0.00036908121230566675
